"name","card","date","amount","merchant","category"
"Matthew Gutierrez","213193946980303","2018-07-04 08:51:29",18.93,"Smith-Stephens","coffee shop"
"Matthew Gutierrez","4165305432349489280","2018-01-18 08:18:50",17.54,"Mcdaniel, Hines and Mcfarland","coffee shop"
"Matthew Gutierrez","4165305432349489280","2018-03-28 07:36:02",16.36,"Maxwell, Tapia and Villanueva","coffee shop"
"Matthew Gutierrez","4165305432349489280","2018-08-28 07:17:14",20.71,"Pitts, Salinas and Garcia","coffee shop"
"Matthew Gutierrez","4962915017023706562","2018-12-23 07:39:47",19.27,"Jarvis-Turner","pub"
"Megan Price","376027549341849","2018-09-03 07:27:55",13.59,"Boone, Davis and Townsend","pub"
"Megan Price","501879657465","2018-01-20 08:35:34",11.96,"Fleming, Smith and Collins","bar"
"Megan Price","501879657465","2018-04-15 08:32:38",17.78,"Patton-Rivera","bar"
"Megan Price","501879657465","2018-12-14 08:51:41",748,"Johnson-Fuller","pub"
"Megan Price","5297187379298983","2018-04-07 07:18:20",14.8,"Wilson, Roberts and Davenport","food truck"
"Michael Floyd","4834483169177062","2018-02-25 08:23:37",15.1,"Mccullough-Murphy","food truck"
"Michael Floyd","4834483169177062","2018-04-23 08:18:49",16.65,"Cooper, Carpenter and Jackson","food truck"
"Michael Floyd","4834483169177062","2018-06-23 07:12:06",18.56,"Cline, Myers and Strong","restaurant"
"Michael Floyd","4834483169177062","2018-09-12 07:33:19",18.48,"Smith-Stephens","coffee shop"
"Nancy Contreras","372414832802279","2018-06-08 07:25:30",11.88,"Kim-Lopez","coffee shop"
"Nancy Contreras","372414832802279","2018-06-19 07:16:54",15.98,"Martin Inc","restaurant"
"Nancy Contreras","372414832802279","2018-12-15 08:34:15",14.36,"Solis Group","food truck"
"Nancy Contreras","4319653513507","2018-03-05 07:34:15",16.58,"Jacobs, Torres and Walker","bar"
"Nancy Contreras","4319653513507","2018-03-06 07:18:09",1334,"Griffin-Woodard","bar"
"Nancy Contreras","4319653513507","2018-04-01 07:17:21",100,"Padilla-Clements","coffee shop"
"Peter Mckay","3561072557118696","2018-04-27 08:08:38",13.52,"Walker, Campbell and Sullivan","food truck"
"Peter Mckay","4743204091443101526","2018-09-26 07:52:23",14.94,"Combs-Jones","food truck"
"Peter Mckay","5361779664174555","2018-08-02 07:44:24",18.93,"Combs-Jones","food truck"
"Robert Johnson","3517111172421930","2018-12-11 07:42:50",14.92,"Greene LLC","restaurant"
"Robert Johnson","4761049645711555811","2018-02-19 08:50:36",12.17,"Clark and Sons","food truck"
"Robert Johnson","4761049645711555811","2018-09-06 08:28:55",1017,"Jacobs, Torres and Walker","bar"
"Robert Johnson","4761049645711555811","2018-09-26 08:48:40",1060,"Jenkins, Peterson and Beck","restaurant"
"Robert Johnson","4761049645711555811","2018-12-07 07:22:03",1894.0000000000002,"Curry, Scott and Richardson","bar"
"Sara Cooper","4268491956169254","2018-01-06 08:49:34",16.28,"Whitehead-Sexton","pub"
"Sara Cooper","4268491956169254","2018-02-21 08:21:10",18.98,"Wilson, Roberts and Davenport","food truck"
"Sara Cooper","4268491956169254","2018-03-30 08:12:28",12.96,"Jones, Clark and Hoover","coffee shop"
"Sara Cooper","4268491956169254","2018-06-08 07:31:57",17.03,"Perry and Sons","bar"
"Sara Cooper","4276466390111","2018-07-30 08:49:16",12.5,"Baker Inc","food truck"
"Sara Cooper","4276466390111","2018-10-28 07:02:33",16.85,"Norton, Burton and Smith","food truck"
"Sean Taylor","3516952396080247","2018-08-02 07:13:49",14.42,"Osborne-Page","coffee shop"
"Sean Taylor","4539990688484983","2018-11-30 08:52:20",12.32,"Rodriguez, Dunlap and Nunez","coffee shop"
"Shane Shaffer","675911140852","2018-02-27 08:27:00",18.52,"Wilson and Sons","restaurant"
"Shane Shaffer","675911140852","2018-03-10 08:52:09",13.53,"Collins LLC","coffee shop"
"Shane Shaffer","675911140852","2018-05-28 07:57:39",15.96,"Pitts, Salinas and Garcia","coffee shop"
"Stephanie Dalton","30142966699187","2018-04-20 08:27:59",15.04,"Vasquez-Parker","bar"
"Stephanie Dalton","30142966699187","2018-05-20 07:05:42",15.37,"Vega, Jones and Castro","food truck"
"Stephanie Dalton","3582198969197591","2018-02-18 07:25:42",16.38,"Yoder-Zavala","food truck"
"Stephanie Dalton","3582198969197591","2018-10-07 07:08:08",18.53,"Fowler and Sons","food truck"
"Stephanie Dalton","4681896441519","2018-01-17 07:56:09",11.91,"Riggs-Adams","restaurant"
"Stephanie Dalton","4681896441519","2018-03-03 08:42:02",19.5,"Wilson, Roberts and Davenport","food truck"
"Stephanie Dalton","4681896441519","2018-07-31 07:44:59",11.93,"Pugh-Williams","bar"
